,state,county,score
639,Iowa,Marion,0
640,Iowa,Marshall,0
641,Iowa,Mills,0
642,Iowa,Mitchell,0
643,Iowa,Monona,0
644,Iowa,Monroe,0
645,Iowa,Montgomery,0
646,Iowa,Muscatine,0
647,Iowa,Osceola,0
648,Iowa,Page,0
649,Iowa,Palo Alto,0
650,Iowa,Plymouth,0
651,Iowa,Pocahontas,0
652,Iowa,Polk,0
653,Iowa,Pottawattamie,0
654,Iowa,Poweshiek,0
655,Iowa,Ringgold,0
656,Iowa,Sac,0
657,Iowa,Scott,0
658,Iowa,Shelby,0
659,Iowa,Sioux,0
660,Iowa,Story,0
661,Iowa,Tama,0
662,Iowa,Taylor,0
663,Iowa,Union,0
664,Iowa,Van Buren,0
665,Iowa,Wapello,0
666,Iowa,Warren,0
667,Iowa,Washington,0
668,Iowa,Wayne,0
669,Iowa,Webster,0
670,Iowa,Winnebago,0
671,Iowa,Winneshiek,0
672,Iowa,Woodbury,0
673,Iowa,Worth,0
674,Iowa,Wright,0
675,Kentucky,Adair,0
676,Kentucky,Allen,0
677,Kentucky,Anderson,0
680,Kentucky,Bath,0
681,Kentucky,Bell,0
682,Kentucky,Boone,0
684,Kentucky,Boyd,0
690,Kentucky,Butler,0
691,Kentucky,Caldwell,0
693,Kentucky,Campbell,0
695,Kentucky,Carroll,0
696,Kentucky,Carter,0
698,Kentucky,Christian,0
699,Kentucky,Clark,0
700,Kentucky,Clay,0
701,Kentucky,Clinton,0
702,Kentucky,Crittenden,0
703,Kentucky,Cumberland,0
704,Kentucky,Daviess,0
708,Kentucky,Fayette,0
710,Kentucky,Floyd,0
711,Kentucky,Franklin,0
712,Kentucky,Fulton,0
713,Kentucky,Gallatin,0
715,Kentucky,Grant,0
717,Kentucky,Grayson,0
720,Kentucky,Hancock,0
721,Kentucky,Hardin,0
722,Kentucky,Harlan,0
723,Kentucky,Harrison,0
724,Kentucky,Hart,0
725,Kentucky,Henderson,0
726,Kentucky,Henry,0
727,Kentucky,Hickman,0
728,Kentucky,Hopkins,0
729,Kentucky,Jackson,0
730,Kentucky,Jefferson,0
732,Kentucky,Johnson,0
735,Kentucky,Knox,0
738,Kentucky,Lawrence,0
739,Kentucky,Lee,0
742,Kentucky,Lewis,0
743,Kentucky,Lincoln,0
744,Kentucky,Livingston,0
745,Kentucky,Logan,0
746,Kentucky,Lyon,0
747,Kentucky,Madison,0
749,Kentucky,Marion,0
750,Kentucky,Marshall,0
751,Kentucky,Martin,0
752,Kentucky,Mason,0
755,Kentucky,McLean,0
758,Kentucky,Mercer,0
760,Kentucky,Monroe,0
761,Kentucky,Montgomery,0
762,Kentucky,Morgan,0
764,Kentucky,Nelson,0
767,Kentucky,Oldham,0
771,Kentucky,Perry,0
772,Kentucky,Pike,0
774,Kentucky,Pulaski,0
775,Kentucky,Robertson,0
777,Kentucky,Rowan,0
778,Kentucky,Russell,0
779,Kentucky,Scott,0
780,Kentucky,Shelby,0
781,Kentucky,Simpson,0
783,Kentucky,Taylor,0
787,Kentucky,Union,0
788,Kentucky,Warren,0
789,Kentucky,Washington,0
790,Kentucky,Wayne,0
791,Kentucky,Webster,0
794,Kentucky,Woodford,0
795,Louisiana,Acadia,0
796,Louisiana,Allen,0
797,Louisiana,Ascension,0
798,Louisiana,Assumption,0
799,Louisiana,Avoyelles,0
800,Louisiana,Beauregard,0
801,Louisiana,Bienville,0
802,Louisiana,Bossier,0
803,Louisiana,Caddo,0
804,Louisiana,Calcasieu,0
805,Louisiana,Caldwell,0
806,Louisiana,Cameron,0
807,Louisiana,Catahoula,0
808,Louisiana,Claiborne,0
809,Louisiana,Concordia,0
810,Louisiana,East Baton Rouge,0
811,Louisiana,East Carroll,0
812,Louisiana,East Feliciana,0
813,Louisiana,Evangeline,0
814,Louisiana,Franklin,0
815,Louisiana,Grant,0
816,Louisiana,Iberia,0
817,Louisiana,Iberville,0
818,Louisiana,Jackson,0
819,Louisiana,Jefferson,0
820,Louisiana,Lafayette,0
821,Louisiana,Lafourche,0
822,Louisiana,Lincoln,0
823,Louisiana,Livingston,0
824,Louisiana,Madison,0
825,Louisiana,Morehouse,0
826,Louisiana,Natchitoches,0
827,Louisiana,Orleans,0
828,Louisiana,Ouachita,0
829,Louisiana,Plaquemines,0
830,Louisiana,Pointe Coupee,0
831,Louisiana,Rapides,0
832,Louisiana,Red River,0
833,Louisiana,Richland,0
834,Louisiana,Sabine,0
835,Louisiana,Tangipahoa,0
836,Louisiana,Tensas,0
837,Louisiana,Terrebonne,0
838,Louisiana,Union,0
839,Louisiana,Vermilion,0
840,Louisiana,Vernon,0
841,Louisiana,Washington,0
842,Louisiana,Webster,0
843,Louisiana,West Baton Rouge,0
844,Louisiana,West Carroll,0
845,Louisiana,West Feliciana,0
846,Louisiana,Winn,0
847,Maine,Cumberland,0
848,Maine,Franklin,0
849,Maine,Hancock,0
850,Maine,Knox,0
851,Maine,Lincoln,0
852,Maine,Oxford,0
853,Maine,Penobscot,0
854,Maine,Waldo,0
855,Maine,Washington,0
856,Maine,York,0
857,Massachusetts,Barnstable,0
858,Massachusetts,Essex,0
859,Massachusetts,Franklin,0
860,Massachusetts,Hampden,0
861,Massachusetts,Nantucket,0
862,Massachusetts,Norfolk,0
863,Massachusetts,Plymouth,0
864,Massachusetts,Worcester,0
865,Michigan,Alcona,0
866,Michigan,Alger,0
867,Michigan,Allegan,0
868,Michigan,Alpena,0
869,Michigan,Antrim,0
870,Michigan,Arenac,0
871,Michigan,Baraga,0
872,Michigan,Barry,0
873,Michigan,Bay,0
874,Michigan,Benzie,0
875,Michigan,Berrien,0
876,Michigan,Branch,0
877,Michigan,Calhoun,0
878,Michigan,Cass,0
879,Michigan,Charlevoix,0
880,Michigan,Cheboygan,0
881,Michigan,Chippewa,0
882,Michigan,Clare,0
883,Michigan,Clinton,0
