,0,1,2
1570,Texas,Gregg,3549.701752491862
1172,North Carolina,Wilkes,2869.5724210676026
966,Missouri,Camden,966.5425116555061
801,Michigan,Berrien,3331.971522468112
1280,Oklahoma,Cotton,1660.7238452138145
1595,Texas,Hutchinson,4210.442632787656
1503,Texas,Brooks,4650.1417097777185
790,Massachusetts,Worcester,1020.0335562662667
574,Iowa,Mahaska,-959.6752839890823
1714,Texas,Waller,243.8333588317073
1741,Utah,Grand,3167.7716374974198
1353,South Carolina,Clarendon,1993.5143171084392
914,Mississippi,Madison,5250.465741920979
1056,Missouri,Wayne,1032.618605325125
1234,Ohio,Morrow,7519.411888189911
1378,South Carolina,Pickens,2524.1215903992315
785,Massachusetts,Franklin,1676.5758026132035
1307,Oklahoma,Marshall,396.84344658884856
903,Mississippi,Jones,7711.092882796017
409,Idaho,Oneida,862.6227510673398
228,Georgia,Bleckley,5627.01532512535
1399,Tennessee,Clay,1147.7207826377498
1423,Tennessee,Henderson,833.4821582854265
1750,Utah,San Juan,2901.968755225397
310,Georgia,Madison,3612.426552589196
1085,North Carolina,Bladen,1664.6635339758805
1193,Ohio,Cuyahoga,-27.714346258852856
115,Arkansas,Johnson,181.5431877526762
1892,New York,Suffolk,1817.8495144047329
1431,Tennessee,Knox,510.9803358624822
1509,Texas,Callahan,5165.140212569574
1537,Texas,Dawson,40281.09624078294
423,Illinois,Bureau,-498.6388971075239
1412,Tennessee,Giles,3965.2453536627318
1270,Oklahoma,Bryan,1090.0258880993342
1429,Tennessee,Jefferson,2608.362632547588
1802,Virginia,Fluvanna,1066.5929820737301
211,Florida,Taylor,181.608457601983
261,Georgia,Dooly,2333.089615952633
1162,North Carolina,Swain,3036.0075823258694
533,Iowa,Clay,-223.5339329772405
1346,South Carolina,Beaufort,1401.1114746579397
710,Kentucky,Pulaski,869.567916018651
227,Georgia,Bibb,1306.3191183933222
1022,Missouri,New Madrid,1135.9546132670494
196,Florida,Monroe,1508.8632495046031
758,Louisiana,Lincoln,17435.066001322848
1638,Texas,McLennan,153.57421800419797
822,Michigan,Huron,846.8811290396688
1633,Texas,Martin,305.5259520661275
1315,Oklahoma,Nowata,12.651432051306074
1364,South Carolina,Hampton,-63.72913468462957
982,Missouri,Daviess,1156.5245520880826
185,Florida,Lafayette,1837.4330545157545
1361,South Carolina,Georgetown,2543.3589912915695
384,Idaho,Bonneville,792.5421306335156
1659,Texas,Palo Pinto,2579.7662882036957
479,Illinois,Montgomery,6462.884102487852
1362,South Carolina,Greenville,1143.0160498450168
1436,Tennessee,Lincoln,3031.4394194743554
284,Georgia,Hall,2082.286513068305
1302,Oklahoma,Latimer,366.9083626557576
696,Kentucky,Monroe,3142.397026165615
1837,Virginia,Northumberland,3196.7898519260625
1607,Texas,Kaufman,-292.6204988210038
877,Mississippi,Bolivar,-732.5734810456061
937,Mississippi,Tallahatchie,2540.7791088644435
117,Arkansas,Lawrence,5475.376149598286
1269,Oklahoma,Blaine,32.20297477975964
351,Georgia,Thomas,515.1579701474384
1524,Texas,Colorado,704.9379268677121
1846,Virginia,Prince William,3138.3623446273696
378,Idaho,Bear Lake,1194.7738678358155
1215,Ohio,Jackson,742.4132971856716
692,Kentucky,Meade,909.943297512089
1336,Oklahoma,Washington,438.92418518188515
1093,North Carolina,Caswell,542.83130607762
93,Arkansas,Columbia,4452.375122026092
1879,New Hampshire,Strafford,3386.834543930693
419,Illinois,Alexander,1708.597053509723
172,Florida,Gilchrist,-187.98355718165203
311,Georgia,Marion,8302.573124067869
612,Kentucky,Allen,3451.1119278663327
850,Michigan,Montmorency,2004.4616974995124
911,Mississippi,Leflore,8051.992290740961
1758,Utah,Washington,688.4090309981866
1310,Oklahoma,McCurtain,775.152826231245
973,Missouri,Christian,144.78024455714421
1168,North Carolina,Warren,7722.098350878526
131,Arkansas,Ouachita,5017.478048265183
1025,Missouri,Oregon,-1442.2931798541294
1552,Texas,Falls,2266.799012621189
285,Georgia,Hancock,-34.702214173559696
1222,Ohio,Lorain,-668.7897256891874
1262,Ohio,Wood,-293.2778032004171
1173,North Carolina,Wilson,1589.451882595954
719,Kentucky,Taylor,383.4681174310481
1853,Virginia,Russell,3948.1173352928627
179,Florida,Highlands,8844.945410751534
424,Illinois,Calhoun,10402.136351370104
494,Illinois,Sangamon,1415.3181255570653
876,Mississippi,Benton,3424.251786925516
5,Alabama,Bullock,1198.6904034739528
1266,Oklahoma,Atoka,8824.73201150103
1748,Utah,Rich,3845.063742192174
387,Idaho,Camas,1103.5106210582535
70,Arizona,Greenlee,554.0748168101973
316,Georgia,Mitchell,6861.827798291476
1530,Texas,Cottle,1065.8667849129215
1011,Missouri,Madison,1189.369001247801
1492,Texas,Bee,3170.7843091264995
539,Iowa,Decatur,1460.9231341543773
1253,Ohio,Trumbull,8041.128478014988
114,Arkansas,Jefferson,2861.86893026097
1416,Tennessee,Hamblen,1311.0195916636121
8,Alabama,Chambers,24530.99240318122
124,Arkansas,Marion,943.3694683801123
1242,Ohio,Portage,792.9472750096929
1013,Missouri,Marion,2955.011312514581
1650,Texas,Motley,1552.047865408732
1745,Utah,Millard,2739.0607968756512
119,Arkansas,Lincoln,1794.389379279125
836,Michigan,Lenawee,2791.663485934804
283,Georgia,Habersham,512.4927423063
1668,Texas,Randall,1905.1589952010418
623,Kentucky,Breathitt,4503.196699445135
222,Georgia,Banks,4620.946151051182
1469,Tennessee,Trousdale,1051.6411708371043
803,Michigan,Calhoun,2430.504557439589
1742,Utah,Iron,139.6384082827617
1345,South Carolina,Barnwell,1357.9283806750145
656,Kentucky,Hancock,4750.737757925904
366,Georgia,Wayne,871.6302220808293
102,Arkansas,Faulkner,683.5812097913522
1180,Ohio,Athens,4552.226038057613
1381,South Carolina,Spartanburg,2392.041551051243
830,Michigan,Kalkaska,1830.0118966171058
433,Illinois,Crawford,-175.1184286662965
633,Kentucky,Casey,812.118352225576
861,Michigan,Presque Isle,1032.4545465584479
1514,Texas,Castro,-155.13095820717626
1037,Missouri,Ralls,3081.9350306861043
634,Kentucky,Christian,-1191.8873087178663
1427,Tennessee,Humphreys,3518.361947293185
1320,Oklahoma,Ottawa,12880.305897732535
337,Georgia,Rockdale,1208.3697129049579
101,Arkansas,Drew,1859.0573742610468
1104,North Carolina,Davidson,2967.7378422292213
1003,Missouri,LaClede,1529.1109064374104
578,Iowa,Mitchell,920.6965568303258
1631,Texas,Madison,11271.015715496022
292,Georgia,Irwin,1363.81960712433
841,Michigan,Manistee,5677.00020195818
143,Arkansas,Searcy,11220.648886165036
910,Mississippi,Lee,3065.1769201108827
1161,North Carolina,Surry,1062.3210624507765
1101,North Carolina,Craven,200.88994428867136
1158,North Carolina,Scotland,948.5927025063584
