,0,1,2
1236,Ohio,Clinton,7623.0727153038515
993,Missouri,Ray,3603.791172624145
1040,Nebraska,Dodge,3544.414548491792
635,Iowa,Lucas,3459.599869306409
816,Michigan,Roscommon,-577.2183664942122
1248,Ohio,Fulton,1797.5580976918523
1421,South Carolina,McCormick,51.43399334163041
1334,Oklahoma,Garfield,445.08250074907164
1655,Texas,Kendall,-412.53190057183406
673,Iowa,Worth,529.4083797393373
1440,Tennessee,Cannon,796.9035293398715
1484,Tennessee,Loudon,4572.401655316093
734,Maine,Waldo,903.4242634394745
1936,New York,Monroe,7453.866813826291
1121,Nevada,Storey,-4.99351427150259
944,Missouri,Grundy,-191.7574927794726
1589,Texas,Dickens,-176.17005682719946
1801,Utah,Tooele,572.6151129796067
607,Iowa,Dubuque,1724.0887242670278
1551,Texas,Brown,10728.142059632944
239,Florida,Hamilton,171.4254576746266
1288,Ohio,Pike,530.8207510295533
693,Louisiana,Evangeline,-488.49774069598993
992,Missouri,Randolph,3689.654455708863
1461,Tennessee,Greene,44.61876853051672
1446,Tennessee,Clay,1209.9519125931006
895,Mississippi,Tunica,273.9921663725777
1438,Tennessee,Bradley,710.2399778467566
209,Colorado,Saguache,1138.6251389102863
1462,Tennessee,Grundy,256.9973806791786
826,Mississippi,Adams,8727.106490545415
22,Alabama,Dale,132.94065873027466
1464,Tennessee,Hamilton,949.785090249618
1101,Nebraska,Valley,1460.8405701910806
314,Georgia,Coffee,2283.8610815198667
328,Georgia,Early,1164.6914193225734
1293,Ohio,Ross,550.6719627472535
1387,South Carolina,Abbeville,395.77221312424035
1521,Tennessee,Washington,13438.216906995345
1380,Oklahoma,Tillman,457.67282464919845
221,Florida,Bradford,1197.8187859030645
874,Mississippi,Newton,231.64248572617453
762,Michigan,Clare,2246.909212626108
261,Florida,Nassau,2755.0838511403713
82,Arkansas,Baxter,471.31723772572104
1383,Oklahoma,Washington,-975.9725065134098
1184,North Carolina,Montgomery,1708.4559421996687
439,Idaho,Ada,6555.640444528664
233,Florida,Flagler,1608.3212694297467
1061,Nebraska,Jefferson,46570.69494391005
767,Michigan,Eaton,5513.9332913919825
1815,Vermont,Rutland,536.4233985947262
1033,Nebraska,Cuming,2339.9819191578686
1718,Texas,Red River,18488.62173197982
1698,Texas,Nacogdoches,37.57951432377649
441,Idaho,Bannock,1984.2122848734443
1138,North Carolina,Camden,690.4377887299565
415,Georgia,Thomas,114.14157133561548
1833,Virginia,Campbell,173.42685388580503
188,Colorado,La Plata,244.95765898741502
825,Michigan,Wexford,1274.3594553752837
832,Mississippi,Calhoun,233.92767599882745
28,Alabama,Franklin,745.7970141505712
1759,Texas,Victoria,1001.8716219317657
86,Arkansas,Calhoun,704.3778422062292
1291,Ohio,Putnam,6432.145247738386
1862,Virginia,Henry,549.4014512894523
29,Alabama,Geneva,-345.8603970891172
1928,New York,Albany,-481.76711486005115
1171,North Carolina,Iredell,149.3270659049158
605,Iowa,Des Moines,5364.599819861727
1433,Tennessee,Anderson,-85.13051153102174
492,Illinois,Christian,521.4939125039314
813,Michigan,Otsego,906.1607123430708
262,Florida,Okeechobee,291.5013226225565
1439,Tennessee,Campbell,-207.3172675054118
1418,South Carolina,Lexington,661.0769434366621
1921,New Hampshire,Coos,413.4239276915432
511,Illinois,Hancock,2826.6374409287205
1646,Texas,Jasper,683.2528072018004
754,Michigan,Benzie,-232.94786354741336
334,Georgia,Fannin,2445.8607510359566
1150,North Carolina,Dare,526.1242467426523
864,Mississippi,Lee,638.3103321825938
1298,Ohio,Stark,263.48228759098174
76,Arizona,Pinal,-35.98436554870659
818,Michigan,Sanilac,4277.483646695009
285,Georgia,Baldwin,-26.389221981286937
271,Florida,Sarasota,1785.6383138319165
1316,Oklahoma,Blaine,744.042595201242
1536,Texas,Bandera,6195.001385582211
1629,Texas,Haskell,468.5080111276461
264,Florida,Osceola,210.99662618759794
588,Iowa,Butler,1161.4942996785853
1662,Texas,Kleberg,-182.96770407259032
630,Iowa,Keokuk,1179.9633172845556
41,Alabama,Lowndes,2665.8746968334503
1896,Virginia,Richmond,11525.61921279674
7,Alabama,Calhoun,153.905508289487
270,Florida,Santa Rosa,1043.5600077172471
1742,Texas,Sutton,97.78763571563877
1016,Nebraska,Arthur,6193.258028081942
1406,South Carolina,Fairfield,1825.6685088918757
1913,Virginia,Washington,7975.243690820003
399,Georgia,Randolph,-371.8483266453827
1631,Texas,Hemphill,617.4872691395817
778,Michigan,Ionia,8606.86997334287
997,Missouri,Schuyler,15841.734865596947
1495,Tennessee,Moore,3261.8578784529996
369,Georgia,Lincoln,569.9900212188422
1175,North Carolina,Lee,2238.1359433569473
483,Illinois,Alexander,855.6745952224942
377,Georgia,McIntosh,249.7640954992512
1761,Texas,Waller,372.56939428299347
1556,Texas,Callahan,-523.0624134294362
1740,Texas,Sterling,27703.809211904132
407,Georgia,Stewart,7866.68442828094
15,Alabama,Coffee,914.2830525571003
1483,Tennessee,Lincoln,154.78978209830393
873,Mississippi,Neshoba,696.5793481512169
470,Idaho,Madison,-682.5621229059216
1465,Tennessee,Hancock,8862.797830578398
525,Illinois,Lake,1359.3236241210593
152,Arkansas,Woodruff,1261.9184637288959
432,Georgia,Wheeler,-336.0278662111018
1545,Texas,Bowie,748.2150705474842
1625,Texas,Hardin,528.8175985015523
42,Alabama,Macon,7555.868910459038
960,Missouri,Lewis,1368.7445326572947
851,Mississippi,Humphreys,-126.779161231751
1608,Texas,Frio,885.4379247017928
448,Idaho,Bonneville,2324.5948873018174
1513,Tennessee,Sullivan,118.79794662117774
1094,Nebraska,Sheridan,753.6939128873396
1259,Ohio,Hocking,-320.86829907248534
480,Idaho,Valley,10211.145290479713
1185,North Carolina,Moore,3207.0578530007665
1873,Virginia,Lunenburg,-99.60390375059433
216,Colorado,Weld,-108.36327713792593
784,Michigan,Kalkaska,1341.6655617292363
803,Michigan,Montcalm,1007.2000485735675
531,Illinois,Macoupin,3971.7443760920655
1381,Oklahoma,Tulsa,2359.831648829107
324,Georgia,Dodge,2198.33353099421
351,Georgia,Harris,1022.4440676963045
1892,Virginia,Prince George,661.7630268023627
